0  months,44.7,46,47.3,48.6,50,51.3,52.7,54,55.3
2  months,51.6,53,54.3,55.7,57,58.5,59.8,61.1,62.5
4  months,56.3,57.5,59.2,60.6,62.1,63.5,65,66.5,67.9
6  months,59.7,61,62.7,64.2,65.7,67.3,68.8,70.3,71.7
8  months,62.5,64,65.6,67.1,68.8,70.3,71.9,73.5,75
10  months,65,66.5,68.2,69.8,71.5,73.2,74.8,76.4,78
12  months,67.1,69.5,70.5,72.3,74,75.7,77.4,79.2,80.8
14  months,69.3,71,72.8,74.6,76.4,78.2,80,81.7,83.5
16  months,71.3,73,74.8,76.7,78.6,80.5,82.4,84.2,86
18  months,73,75,76.8,78.7,80.7,82.7,84.6,87,88.5
20  months,74.8,76.5,78.6,80.7,82.7,84.7,86.7,88.7,90.6
22  months,76.3,78.3,80.5,82.5,84.6,86.7,88.8,91,92.8
24  months,77.2,78.9,81.3,83.5,85.7,87.9,90,92.5,94.3
2.5  years,81.4,83.7,86,88.3,90.7,93.1,65.5,98,100
3  years,85,87.5,90,92.5,95,97.6,100.2,103,105
3.5  years,88.3,91,93.5,96.3,99,101.8,104.5,107.5,110
4  years,91,93,96.1,98.8,101.5,104.3,107,110,112.4
4.5  years,93.7,96.5,99.5,102.3,105.2,108,110.8,113.5,116.5
5  years,97,100,103,106,108.9,112,115,118,120.5
5.5  years,100,103,106,109,112.2,115.4,118.5,122,124.8
6  years,102.5,105,109,112,115.3,118.6,122,125,128
6.5  years,105,108,111.7,115,118.3,121.7,125,128.5,131.8
7  years,107.5,111,114.2,117.8,121.3,124.8,128,131.5,135
7.5  years,110,113,117.3,120.7,124.3,128,131.5,135,138.5
8  years,113,116.5,120,123.7,127.3,131,134.8,138,142
8.5  years,115,119,122.7,126.5,130.1,134,137.7,141.5,145
9  years,117,121,125,129,132.8,136.7,140.5,144.2,148.5
9.5  years,119.5,122.5,127.5,131.5,135.6,139.7,144,148,152
10  years,121.5,126,130,134,138.4,142.7,147,151,155.5
10.5  years,123.5,128,132.5,137,141.3,145.8,150,154.5,159
11  years,125.5,130,135,139.5,144.1,148.8,153.2,158,162.2
11.5  years,128,133,137.5,142,146.9,151.8,156.2,161,166
12  years,131,135,140,145,149.8,154.5,159,164,169
12.5  years,133.5,138.5,143,147.9,152.6,157.5,162,167,171.5
13  years,137,141.5,146,150.7,155.3,160,164.5,169,174
13.5  years,140,144,148.7,153,157.7,162,167,171,175.8
14  years,142,146.5,151,155,159.6,164,168.5,173,177
14.5  years,144,148.5,152.7,157,161.1,165.5,169.8,174,178
15  years,146,149,154,158,162.2,166.5,170.5,175,179
15.5  years,146.5,150.5,154.7,158.7,162.9,167,171,175,179.5
16  years,147,151,155,159,163.2,167.2,171.5,175.5,179.5
16.5  years,147.5,151,155.3,159.3,163.5,167.5,171.5,175.5,179.5
17  years,147.5,151,155.3,159.4,163.5,167.5,171.5,175.5,179.5
17.5  years,147.5,151,155.3,159.4,163.5,167.5,171.5,175.5,179.5
18  years,147.5,151,155.3,159.4,163.5,167.6,171.5,175.5,179.5
