0  months,2.1,2.4,2.7,3.04,3.36,3.68,4,4.3,4.6
2  months,3.6,3.9,4.3,4.7,5.12,5.6,6.1,6.6,7.2
4  months,4.6,5,5.45,5.9,6.45,6.98,7.6,8.2,8.9
6  months,5.3,5.7,6.2,6.73,7.3,7.94,8.6,9.3,10.1
8  months,5.8,6.2,6.75,7.32,7.95,8.64,9.4,10.2,11
10  months,6.2,6.6,7.2,7.8,8.47,9.2,10,11,11.8
12  months,6.5,7,7.6,8.25,8.95,9.72,10.6,11.5,12.5
14  months,6.85,7.3,8,8.65,9.4,10.2,11.1,12.1,13.2
16  months,7.2,7.9,8.35,9,9.8,10.7,11.6,12.7,13.8
18  months,7.5,8,8.7,9.4,10.2,11.1,12.1,13.2,14.4
20  months,7.8,8.3,9,9.8,10.65,11.6,12.6,13.8,15
22  months,8.1,8.7,9.4,10.2,11.1,12,13.1,14.3,15.6
24  months,8.35,9,9.75,10.6,11.5,12.5,13.6,14.9,16.2
2.5  years,9.1,10,10.8,11.7,12.8,13.9,15,16.4,18
3  years,10,10.8,11.75,12.7,13.9,15,16.5,18,20
3.5  years,10.7,11.6,12.6,13.8,15,16.2,18,19.8,21.9
4  years,11.2,12.2,13.3,14.5,16,17.6,19.4,21.5,23.9
4.5  years,12.7,13.7,14.7,15.8,17.2,18.9,20.8,22.9,25.3
5  years,13.2,14.2,15.5,16.9,18.3,20,22,24.5,27.2
5.5  years,14,15,16.2,17.7,19.4,21.3,23.5,26,29.5
6  years,14.5,15.8,17,18.7,20.5,22.5,25,28,32
6.5  years,15.4,16.5,18,19.7,21.7,24,26.8,30,34
7  years,15.8,17.5,19,20.8,23,25.5,28.5,32.5,37
7.5  years,17,18.5,20,22,24.4,27.3,30.5,35,40.5
8  years,18,19,21,23.3,25.9,29,33,37.7,44
8.5  years,18.5,20,22.2,24.5,27.4,30.8,35,40,47.5
9  years,19.5,21.5,23.5,26,28.9,32.5,37,43,51
9.5  years,20.5,22.5,24.5,27.2,30.6,34.5,39.5,46,55
10  years,21.5,23.5,26,28.8,32.3,36.8,42,49,59
10.5  years,22.2,24.5,27,30.2,34.1,39,45,52,62
11  years,23,25.5,28.5,32,36,41,47.2,55,66
11.5  years,24.2,27,30,33.5,38.1,43.5,50,58,69
12  years,25.5,28.5,31.8,35.7,40.3,46,52.5,61,71
12.5  years,27.2,30,34,38,42.8,48.4,55,63,73
13  years,29.2,32.5,36,40.3,45.4,51,58,65.5,75
13.5  years,31.2,34,38.5,43,47.9,53.5,60,68,77
14  years,33.3,36.5,40.5,45,50.1,56,62.5,70,79
14.5  years,35,38.5,42.5,47,51.9,57.5,64,72,81
15  years,37,40,44,48.4,53.4,59,66,73.5,82
15.5  years,38,41.5,45,49.5,54.6,60.3,67,74.5,84
16  years,39,42.5,46,50.5,55.5,61.5,68,76,85
16.5  years,39.8,43,47,51.3,56.2,62,68.8,76.5,86
17  years,40.4,43.6,47.3,51.8,56.9,62.6,69.3,77,87
17.5  years,40.5,44,47.9,52.2,57.2,63,70,78,87
18  years,40.9,44,48,52.3,57.5,63.5,70.5,78,88
